EMPLOYER_NAME,target,value,source,pay
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,140000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,174600
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,169553.5
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,156865.5
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,169553.5
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,105000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,158000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,125000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,151500
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,125000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,168400
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,178300
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,140000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,125000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,170050
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,137500
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,145000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,145000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,129800
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,170000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,123800
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,135000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,125000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,126100
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,135000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,137500
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,145000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,128100
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,116900
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,119935
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,105800
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,110000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,126300
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,135700
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,147700
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,113600
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,140000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,155000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,140000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,113000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,174600
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,146500
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,150000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,114900
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,120000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,122000
